Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,Tests\Tests.csproj,File,Tests\Tests.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Tests\Tests.csproj,File,Tests\Tests.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Tests\Tests.csproj,File,Tests\EndPointsTests.cs,24,12,T:System.Configuration.ConfigurationManager,,,,,"school = client.school(System.Configuration.ConfigurationManager.AppSettings[""SCHOOL_ID""]);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Tests\Tests.csproj,File,Tests\EndPointsTests.cs,24,12,P:System.Configuration.ConfigurationManager.AppSettings,,,,,"school = client.school(System.Configuration.ConfigurationManager.AppSettings[""SCHOOL_ID""]);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Tests\Tests.csproj,File,Tests\EndPointsTests.cs,23,12,T:System.Configuration.ConfigurationManager,,,,,"var client = new Client(System.Configuration.ConfigurationManager.AppSettings[""API_TOKEN""]);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Tests\Tests.csproj,File,Tests\EndPointsTests.cs,23,12,P:System.Configuration.ConfigurationManager.AppSettings,,,,,"var client = new Client(System.Configuration.ConfigurationManager.AppSettings[""API_TOKEN""]);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Tests\Tests.csproj,File,Tests\ClientTest.cs,21,12,T:System.Configuration.ConfigurationManager,,,,,"var client = new Wonde.Client(System.Configuration.ConfigurationManager.AppSettings[""API_TOKEN""]);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Tests\Tests.csproj,File,Tests\ClientTest.cs,21,12,P:System.Configuration.ConfigurationManager.AppSettings,,,,,"var client = new Wonde.Client(System.Configuration.ConfigurationManager.AppSettings[""API_TOKEN""]);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Tests\Tests.csproj,File,Tests\ClientTest.cs,14,12,T:System.Configuration.ConfigurationManager,,,,,"var school = client.school(System.Configuration.ConfigurationManager.AppSettings[""SCHOOL_ID""]);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Tests\Tests.csproj,File,Tests\ClientTest.cs,14,12,P:System.Configuration.ConfigurationManager.AppSettings,,,,,"var school = client.school(System.Configuration.ConfigurationManager.AppSettings[""SCHOOL_ID""]);"
